schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	e9c38547d092b4d1c4940d4f04066d8384232d6afb3ea304f83fb4b18b835265
pages	9
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	1	993	1404	221134	fcfe6f3bb0559db7bc32e172d3160164d30f04a33ddfbfcedc28a04e81de3838	0	255	103741	106946
color	2	993	1404	285207	9bb0d3dc6ecb41ddd2eb2722389b90a4193ea3ba203186df356816963ac7618f	0	255	121870	133988
color	3	993	1404	253969	03cf5ee3466bbf01c33e3b6387d36eaf1114aa8a94fab6b280d20adc417eb5da	0	255	151164	325296
color	4	993	1404	378715	5b6aabbe3a165460bac4b8ddca600a7c75c1d59e28646a4354c7a57bd4989974	0	255	134603	6976
color	5	993	1404	302201	e1a7ba06d71b84e98144a873ba7fdcb2f514a79afbef7bb018c89fd3d9e92c6f	0	255	105240	7087
color	6	993	1404	288166	15ca2ab89f607df480681b39f44d840a4d549c84143fe030ca8655fa0708c79e	0	255	96511	5369
color	7	993	1404	298085	ab98c5e8b68e9f75d9225cbbfd744990dc6bc820f5dd076212b0a2f1f0d25983	0	255	106825	11133
color	8	993	1404	309562	8ffec2b32a009fe4bca21e51197655844fb6c194e0a357a2762a4bf96b8c7ff8	0	255	128993	140216
color	9	993	1404	155403	dac53c9bc4af8988d3fa9eb5774377d7e0b7756d96ac4710b05aa10adffc8fb7	0	255	53495	4444
gray	1	993	1404	217585	530cd4b8be99e238c079367f24e714e60e89187ab50c8039a5f7e3952a56c1a6	0	255	103704	0
gray	2	993	1404	282121	950861dab8bb2333b7d82724e30312794754e57fcf427fd157b0e00332a2c0a7	0	255	121854	0
gray	3	993	1404	247628	75c5d027fe05058649a918574f40d93b2435e56806de7927f7b6b424231ff472	0	255	151062	0
gray	4	993	1404	377702	ba0afde2e660056cd07594bb40d1fcd87e401bf8b3bbe5a62934a567d6e69032	0	255	134581	0
gray	5	993	1404	301255	c7490362144dbe077588118255434d0638c94b42b774491a733ba4109a236558	0	255	105229	0
gray	6	993	1404	287317	91c48e086143641162a8c48cce3e2fb8ea5ba1004c55dc05eb41bb29bdd09f47	0	255	96503	0
gray	7	993	1404	294330	037e2273226470a936e08399c51309b26798e68dfb3de6ea25f66633ff0974a2	0	255	106817	0
gray	8	993	1404	305941	2a98bf21b89f8108d697e7e9db2cbb6bf0e6b414ab36240528d7c9326082ed9d	0	255	128985	0
gray	9	993	1404	154772	da35535910a42b509c3c6c0d92a926a8161a01cd2997b939f2bea1d44432422e	0	255	53487	0
