schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	2b05eb2e9d1e694d2f2f04b2bed3acf9b7f1c2eb1ac6672c48757ef9d067d33f
pages	5
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	1	993	1404	220179	5bce81d90c90ba42585f0a1ea6c1d700f94461e69d9a7010f7689cd3b98e0ce3	0	255	101005	131061
color	2	993	1404	292194	0aadd264ba74011a186046f724278492a496c80012357b2d3c5fe7c812c599e4	0	255	123420	68609
color	3	993	1404	308713	0d11ef1b0cf1229aee9a43d910f313c6727b9aa8c8fefdf57fd4ca72736d6cbf	0	255	124786	92125
color	4	993	1404	267930	f4a9c0de56c80c87ebb3246667f61ea757d0f49e18c6c79da8597814cb59effc	0	255	163047	327048
color	5	993	1404	271440	4979e41adbbbe3f5c58073f10594105bc866419c0a237b98b54d0fefead18b32	0	255	117218	131244
gray	1	993	1404	216291	b79889dfc0c019bdf9e677c3b25a8635feae8cfebc91e32e686a797cc7c049fe	0	255	100980	0
gray	2	993	1404	290527	d94f1b70eaccd03745943a6984aa000ea6238b16e92f4d347713a666deb37423	0	255	123414	0
gray	3	993	1404	306227	ea81e22b93b4af89db2fabd129f5e9f5acf3360edafeb944eddc59b012264651	0	255	124780	0
gray	4	993	1404	259787	e280e47375258e1b70ec4e8529340f1d471f515237fae44d2b4fcadbc3848a7e	0	255	162823	0
gray	5	993	1404	268287	6e05e9bcccf7570b6a1ed8453c16238afeb4cb752f81304789c8856e209758a3	0	255	117212	0
