schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	1683a6cf84646edc1a5f2258cf858ea9af707b3bf5712b6820c9fdb7436424d0
pages	9
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	1	993	1404	220599	faff4245a3bc25547010e37f1e255d14f6c3e56acb614458e1a4f28830614c1b	0	255	103753	106948
color	2	993	1404	285207	9bb0d3dc6ecb41ddd2eb2722389b90a4193ea3ba203186df356816963ac7618f	0	255	121870	133988
color	3	993	1404	253969	03cf5ee3466bbf01c33e3b6387d36eaf1114aa8a94fab6b280d20adc417eb5da	0	255	151164	325296
color	4	993	1404	378715	5b6aabbe3a165460bac4b8ddca600a7c75c1d59e28646a4354c7a57bd4989974	0	255	134603	6976
color	5	993	1404	302201	e1a7ba06d71b84e98144a873ba7fdcb2f514a79afbef7bb018c89fd3d9e92c6f	0	255	105240	7087
color	6	993	1404	288166	15ca2ab89f607df480681b39f44d840a4d549c84143fe030ca8655fa0708c79e	0	255	96511	5369
color	7	993	1404	298085	ab98c5e8b68e9f75d9225cbbfd744990dc6bc820f5dd076212b0a2f1f0d25983	0	255	106825	11133
color	8	993	1404	309562	8ffec2b32a009fe4bca21e51197655844fb6c194e0a357a2762a4bf96b8c7ff8	0	255	128993	140216
color	9	993	1404	155403	dac53c9bc4af8988d3fa9eb5774377d7e0b7756d96ac4710b05aa10adffc8fb7	0	255	53495	4444
gray	1	993	1404	217196	2d05517e3d28fe43212615194a3790d74085c4f527ed051f99b61c930e4c4d81	0	255	103716	0
gray	2	993	1404	282121	950861dab8bb2333b7d82724e30312794754e57fcf427fd157b0e00332a2c0a7	0	255	121854	0
gray	3	993	1404	247628	75c5d027fe05058649a918574f40d93b2435e56806de7927f7b6b424231ff472	0	255	151062	0
gray	4	993	1404	377702	ba0afde2e660056cd07594bb40d1fcd87e401bf8b3bbe5a62934a567d6e69032	0	255	134581	0
gray	5	993	1404	301255	c7490362144dbe077588118255434d0638c94b42b774491a733ba4109a236558	0	255	105229	0
gray	6	993	1404	287317	91c48e086143641162a8c48cce3e2fb8ea5ba1004c55dc05eb41bb29bdd09f47	0	255	96503	0
gray	7	993	1404	294330	037e2273226470a936e08399c51309b26798e68dfb3de6ea25f66633ff0974a2	0	255	106817	0
gray	8	993	1404	305941	2a98bf21b89f8108d697e7e9db2cbb6bf0e6b414ab36240528d7c9326082ed9d	0	255	128985	0
gray	9	993	1404	154772	da35535910a42b509c3c6c0d92a926a8161a01cd2997b939f2bea1d44432422e	0	255	53487	0
