schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	ecfc0c936def223220e6fd4eac79e6a77245c2a1005061d48e669b107774caaf
pages	87
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	1	993	1404	246391	6ecea842b88ba49cbbae5309a5212c3357fe6d914a7b5a16c6a1d5b4408890ed	57	255	114549	1389657
color	2	993	1404	350877	b419dd0785a24522fce58620f5964aac2f0f196c59fa55cb4d114d21455769e7	57	255	108681	1390118
color	3	993	1404	91940	4997aa8add523768a70941ad82cef5f92e5a4f0a030c5ed197353048af740625	57	255	32509	1391453
color	4	993	1404	208564	050a1d12b1bf5e1a570427680594704b2676df2854602ee4cd33a5b4457a3f54	57	255	78968	1389745
color	5	993	1404	264659	a3d5a300c29c05576185f53781162aa7755943490caae96d66f98375393a4118	57	255	131043	1389182
color	6	993	1404	303685	7a39d8111ec122893100f21e8f187ac6d83c6d37156d67df15d8754715d11447	57	255	127767	1389020
color	7	993	1404	334766	ac6aed773a250c460e502f04571c44838b478d1ea388417e2e79dc7fd6a7fd83	58	255	119062	1388055
color	8	993	1404	295601	b3ce5a4763e2c2b811a11d1370d7ab8b723d64b93861c4f800631321fd63006b	57	255	109762	1388964
color	9	993	1404	312816	f08aa4a0ce339bbbf8fbff10fd468847b4947f27bee67f0425ca8fb2d8898357	58	255	127135	1332623
color	10	993	1404	224209	8673c02841a9ef7222199cd69ac4bf21392cb8c7252109794b9240b316e7a066	57	255	119078	1318954
color	11	993	1404	298427	18edca2a1bacc7ea910efcacd453a8cdb51a3331fa1ec62d3a8d0327901c6e52	58	255	105501	1388915
color	12	993	1404	311834	5c2bb98298c2b5f7f41877cae6dfd111e7c3bd8114fe5b8a70863e57fe75b2db	57	255	142601	1388954
color	13	993	1404	405109	81686bf3c23e56964f1ab884a8f1666dd9d4ba9462125f0a88692b53db6da606	58	255	142543	1387462
color	14	993	1404	453903	85697a1029cee395da981150526891f34195e8811d5874bba46f25da02cb7250	58	255	157184	1386740
color	15	993	1404	345875	ac11d898e79cff4e39379076303348a3a4b0efa2ca0e7ba155d4de37af048b44	58	255	119903	1388405
color	16	993	1404	316057	5abb87b30bbdb640ac928deabdf440d7d3c435a25baa0761c21af9d4467dc6c6	57	255	129758	1194163
color	17	993	1404	284556	8d7e69ffef1b9e80eef37111a0104f2a4282e2d13e5b606c88d9188a0d6d2838	57	255	98900	1389491
color	18	993	1404	406080	c4f95b30c5cd72ad41b4d375a2f42fea5820dc4bb64aa949945c9b17f5e4c792	58	255	140385	1387431
color	19	993	1404	416351	5f742c6a9df15a14f3adbce40c4311f0fb02da7a4a3045cd3faedc800eb8500b	57	255	146531	1387365
color	20	993	1404	342229	7dbdb3fccc42760fd9b2a548747eed9dffa0cb43886bd48541bee1551720dc04	58	255	138570	1347967
color	21	993	1404	321342	704f68c5e8b8eb0cd98fc7844d8e6c0f976d98006246f6ffea51c20e0d2f7aa9	57	255	117655	1015700
color	22	993	1404	415518	e9dcc4803e3fd908367b0b65504f0b5ac536c9f824ec0da247f53b1211f7c12c	58	255	146584	1387406
color	23	993	1404	326486	5271e191ea26466ce8fbe1a620402dff383db18adb55bf9aa9440fa555a77e36	58	255	127082	1227363
color	24	993	1404	290600	b7912a4317e0e088d906945ddcc6b549d76e69ba8f0e99727c86e7eecda3aa63	57	255	112164	1146464
color	25	993	1404	342838	2a4f356a612c2d836c462c0a7d05fa60c787afedc792d143d35e73b6e254d536	57	255	117032	1388325
color	26	993	1404	381300	f5cc1c86a804310e99be922beee8b25568b9ab37bc60f61fa7354c92b9715020	57	255	133192	1387590
color	27	993	1404	340456	8e7d2de62badefdb8a0c0acb6d2227640da78fe7f70853c006a2078b8559bf57	58	255	118829	1388053
color	28	993	1404	308208	b53ef5b3fae6b0967e957d1f59862451a21575d2cae871c46ad042c98a426d4f	57	255	107486	1388883
color	29	993	1404	393937	51a00ac4cd075f147d204b0da37ad00415d0bb0e839e1a005ef21e31f5d8e392	58	255	158108	1123714
color	30	993	1404	337323	658b30409d89c40cb0da915182470888cf9311b2e728a17ebc9b7879f6bb1d29	58	255	129843	1246806
color	31	993	1404	403575	2a1f1ab8a8ab7b4cf6d91234f2ecd70af36cfdaf0e25c49d258763a1f2013a3a	57	255	143386	1299942
color	32	993	1404	324403	6035bc4cb1d837af06a37757b2c00e92fd1120e4528b5771372275f0acec014a	58	255	113686	971000
color	33	993	1404	288364	f90223a2f1d52140ae86c506e350c988d107bf619e2f3dc12fcf41f09f72c017	58	255	116210	1150344
color	34	993	1404	309375	ef3f084737fd26dd7b464c831ada15475c07da360473874a43837a3818ab6345	58	255	107759	1388461
color	35	993	1404	446480	5e67ae0b20a7bd245e01f1ecaa4b0d3886bfafbbf4dd5d697417c3efccea3492	58	255	156500	1386398
color	36	993	1404	305267	193099c1bdf19fcf71ebf805de08558c79909fe9bdeaabc891fa03c4c136a769	58	255	119178	1140830
color	37	993	1404	254568	6306f7cb65f518659dfd85dab9ee7882a68fd376737dd6b7c6f9c8ce242a5dc4	58	255	130632	1156060
color	38	993	1404	274876	9faf568d8e3b3394087f55b577bc6e5cd922a3a85ed9455a580fa4940999c804	58	255	116990	1102832
color	39	993	1404	265388	a5fbd2b8c04006efc73e73ab393e70a2d63e41c27a46ff40f77ad11309a18b20	58	255	99825	1078772
color	40	993	1404	265294	3705c7f7ce069a3cad284cb9cdd64f32ca2492c078e41725af2d81be07eb978f	58	255	97457	1030429
color	41	993	1404	289420	371c0363e13301bd4e6328d638968d915fc0d1a76bc76888d95d20c1521c8b3e	58	255	110542	1083454
color	42	993	1404	327990	1df56e21b98f34d7ef93b03f958ea411d133fd0bd3e7a0c463a9cc7382b1a461	58	255	120271	1261110
color	43	993	1404	399282	1250fb1ce6699db79bb877ddcc593c3f6d0e44ee5867cd5f2ec7b87ce4e9aef2	57	255	145308	1387136
color	44	993	1404	437921	5a3f9e4796e92a3a31ef0a21bb37e915620afbb880a0c123394141b62c0e173d	57	255	159650	1386791
color	45	993	1404	264620	a3d6af6f33330b82641b3b0ab4fb97362ac7b702f706057e484852b3c5e6c2bc	58	255	112020	1005883
color	46	993	1404	314911	72ea210c3226098222d429c18c664b07fc7e85f01e80e9b72c1eda4aefe761d4	57	255	145949	1310171
color	47	993	1404	430595	42f4912f057ce0964b10518ffb2fcb9e5f62a5589de3285d0be36922d347644d	58	255	161501	1106696
color	48	993	1404	372342	557afb5b82d56396f71ba0acbc4c4d1b1924a947fa7cb03b7ff57a2f57dea148	58	255	128473	1388006
color	49	993	1404	430305	8269128c419d373bd2c9fcb02cbe2a7d7166207389883ddcf262959407164aba	58	255	155794	1386797
color	50	993	1404	399062	12a1425968b42c8bc6719ea2d888f33ebba99a8d3ae77b4673e7d1d143ad77f9	58	255	147395	1386978
color	51	993	1404	308029	356cec37b7a415cf7936276e2569b5a100fa4f41a8f9953fa7f368a230917d36	57	255	124368	1279772
color	52	993	1404	327590	2582c350a0da998a610bcfb13a91eb79bd09a76f6bcfbf8b8b3e537c9cb41f8f	57	255	147918	1260285
color	53	993	1404	284467	f9ab82c0a30f15a3333be0602c1d1e344352622d70747de2f83690969c979571	57	255	117443	1298365
color	54	993	1404	330267	f8ad3b74783c747aa83b649ee1d146a2a9921ddf052ccc5a293b4eade3874908	57	255	138718	1388241
color	55	993	1404	277195	3a19077f15ae916ea86fa292caa0f440f789c4c310c0a20e00294da3286c5d57	57	255	97468	1388893
color	56	993	1404	340007	23cc2e17f05c145c5e66b0dae7d11856f1cb081e78659511610bb20acbbd120f	57	255	135784	1273763
color	57	993	1404	317130	50bdc7371a33e04c43f8994c999c0cc277e3e26f7d5e0ec90b0e6d2e48d0f4a4	57	255	110876	1388428
color	58	993	1404	366716	1e05b82cdd9facb400aa4bbb69b2fe6ce73403c14bd2ad99ff61a7ee38ab83be	57	255	126439	1388124
color	59	993	1404	355885	d7ac24951bcedde0f2fd881ca038f27325f422f12a85a34f3ab62dcb6a27e815	57	255	125779	1387925
color	60	993	1404	397451	b1e240ced81252a29acf8ffa561df8fac85270d788e860658828490cb843f973	57	255	143138	1387447
color	61	993	1404	227398	a8d4855225422a763a71f9c065951a4325544e8fa302c4cb1471268c49fffded	57	255	78221	1389846
